 DATE       TIME          LONG   LAT   DEPTH STK DP  RKE Mom      Mw   CMTNAME
 2021/05/12  14:05:15.7   65.53 -17.59   20.2  56 81   -8 1.0e+26  6.60 202105121405A  
 2021/05/14  06:33:07.9   96.62   0.09   14.2 163 45  -53 1.5e+26  6.71 202105140633A  
 2021/05/19  00:42:19.7 -109.55 -33.40   14.1 104 77  179 1.3e+26  6.67 202105190042A  
 2021/05/21  18:04:13.6   98.46  34.66   12.0  13 84 -177 1.7e+27  7.41 202105211804A  
 2021/06/20  17:05:50.7 -177.52 -30.29   42.8 199 32   96 7.2e+25  6.50 202106201705A  
 2021/07/21  21:15:12.3  -82.83   7.39   17.5 172 89  179 1.5e+26  6.71 202107212115A  
 2021/07/23  20:48:57.4  120.59  13.76  119.6 109 45   50 1.1e+26  6.64 202107232048A  
 2021/07/29  06:15:48.2 -157.32  55.40   29.6 238 10   88 2.9e+28  8.24 202107290615A  
 2021/08/11  17:46:13.4  127.00   6.09   44.7  31 48  123 5.5e+26  7.09 202108111746A  
 2021/08/12  18:32:54.5  -24.34 -59.48   20.0 204 14  118 3.1e+28  8.26 202108121832A  
 2021/08/14  11:57:43.5 -157.45  55.17   25.0 238 11   86 4.0e+26  7.00 202108141157A  
 2021/08/14  12:29:08.4  -73.64  18.50   12.0 154 52  145 6.3e+26  7.13 202108141229A  
 2021/08/16  11:10:36.6  -22.83 -58.48   15.3 351 45 -128 2.2e+26  6.82 202108161110A  
 2021/08/18  10:10:05.2  166.83 -14.91   99.8 189 70  171 3.3e+26  6.95 202108181010A  
 2021/08/22  00:45:07.9  -23.60 -60.33   12.0  19 42 -109 1.4e+26  6.69 202108220045A  
 2021/08/22  21:33:19.0  -24.18 -60.57   12.0  35 44  -82 3.6e+26  6.97 202108222133A  
 2021/09/08  01:47:47.5  -99.76  17.03   21.8 279 20   73 3.5e+26  6.96 202109080147A  
 2021/09/22  09:57:07.0  -87.99  11.92   27.9 293 26   67 8.3e+25  6.54 202109220957A  
 2021/10/02  06:29:18.8  174.64 -21.16  546.0 282 45  -29 1.1e+27  7.29 202110020629A  
 2021/10/09  10:58:28.5  174.40 -21.31  531.7 250 69   15 2.9e+26  6.91 202110091058A  
 2021/10/11  09:10:24.7 -156.63  56.45   67.0 100 54   12 2.9e+26  6.91 202110110910A  
 2021/11/10  15:45:13.0  126.31  23.56   21.9 244 45 -109 9.2e+25  6.57 202111101545A  
 2021/11/28  10:52:13.2  -76.74  -4.73  110.3 338 38  -89 2.1e+27  7.47 202111281052A  
 2021/12/14  03:20:24.4  121.97  -7.45   14.4  19 74    0 1.3e+27  7.34 202112140320A  
 2021/12/29  18:25:51.9  127.59  -7.70  166.3 302 45  124 1.2e+27  7.32 202112291825A  
 2022/01/07  17:45:30.1  101.31  37.80   14.8 104 82    1 1.2e+26  6.66 202201071745A  
 2022/01/11  01:07:48.0   31.84  34.90   26.3 297 15  104 9.6e+25  6.59 202201110107A  
 2022/01/11  11:35:46.2 -167.83  52.29   16.8 247 20   99 1.8e+26  6.77 202201111135A  
 2022/01/11  12:39:31.5 -168.01  52.26   18.8 252 21  102 7.7e+25  6.52 202201111239A  
 2022/01/14  09:05:42.5  105.22  -7.10   40.2 306 29  115 1.1e+26  6.62 202201140905A  
 2022/02/16  20:21:06.7 -179.95 -23.85  546.7 111 25 -162 2.8e+26  6.90 202202162021A  
 2022/03/02  12:52:09.2 -177.51 -30.13   45.7 201 32   99 9.6e+25  6.59 202203021252A  
 2022/03/13  21:09:22.0   98.52  -0.59   25.1 322 19  102 1.6e+26  6.73 202203132109A  
 2022/03/16  14:36:33.3  141.75  37.76   51.5  15 45   92 1.2e+27  7.32 202203161436A  
 2022/03/22  16:35:08.0  -43.06  10.86   17.1 277 73 -170 1.0e+26  6.61 202203221635A  
 2022/03/22  17:41:39.2  121.49  23.35   30.5 228 39  121 1.1e+26  6.63 202203221741A  
 2022/03/30  20:56:58.5  170.32 -22.66   12.6 310 26  103 2.3e+26  6.83 202203302057A  
 2022/03/31  05:44:01.8  170.46 -22.49   23.0 307 31  102 3.2e+26  6.93 202203310544A  
 2022/04/21  07:42:46.5  -87.12  11.42   36.6 306 29   91 1.1e+26  6.63 202204210742A  
 2022/05/10  23:06:29.1  -66.79 -23.48  218.4 160 12 -100 1.6e+26  6.74 202205102306A  
 2022/05/19  10:13:31.7  158.70 -54.02   23.5 291 69   19 2.3e+26  6.84 202205191013A  
 2022/05/26  12:02:20.3  -70.28 -14.75  237.8 177 62  -12 7.4e+26  7.18 202205261202A  
 2022/05/26  15:37:58.2  172.14 -22.81   29.1 277 33   90 1.1e+26  6.62 202205261538A  
 2022/06/04  13:17:48.5  148.20 -57.80   12.0 344 76   -2 7.1e+25  6.50 202206041317A  
 2022/07/12  19:17:00.4 -114.00 -22.50   12.0 306 59  143 1.5e+26  6.71 202207121917A  


